dataset,sampling_method,k,sample_fraction,sample_size,mean_mape,std_mape
Apache,kmeans_random,5,0.7,134,0.16575130124344645,0.026493189336732233
Apache,kmeans_random,6,0.7,134,0.1543497293308465,0.009024987194642092
Apache,kmeans_random,7,0.7,134,0.15816208990483277,0.012984666933562077
Apache,kmeans_random,8,0.7,134,0.16006339903169262,0.013250714263403626
Apache,kmeans_random,9,0.7,134,0.1568032308394693,0.013392261864150072
Apache,kmeans_random,10,0.7,134,0.15290356224725124,0.009165128746707519
Apache,kmeans_random,11,0.7,134,0.15644798774648552,0.01086340742139744
Apache,kmeans_random,12,0.7,134,0.15972772947092825,0.011470259351717546
Apache,kmeans_random,13,0.7,134,0.15962873480659753,0.01105027800152724
Apache,kmeans_random,14,0.7,134,0.16248575607520957,0.013887204068277498
Apache,kmeans_random,15,0.7,134,0.15737107109373324,0.011448095803562042
Apache,kmeans_random,16,0.7,134,0.15951350551001905,0.01429285209380843
Apache,kmeans_random,17,0.7,134,0.1614485152447974,0.012726699310784274
Apache,kmeans_random,18,0.7,134,0.15498783087767412,0.012855284288886095
Apache,kmeans_random,19,0.7,134,0.1554159087367375,0.010806467143127019
Apache,kmeans_random,20,0.7,134,0.15814077161634418,0.011471583228649832
Apache,random,,0.7,134,0.15747895550520438,0.012003355084154382
Apache,diversity,,0.8,154,0.11869895324369244,0.0
Apache,kmeans_default,5,0.8,154,0.15907559879514813,0.049811377119765694
Apache,kmeans_default,6,0.8,154,0.1416330048649068,0.01872983727066289
Apache,kmeans_default,7,0.8,154,0.14273821264868713,0.01889363494069123
Apache,kmeans_default,8,0.8,154,0.1439642255779137,0.023501814969611207
Apache,kmeans_default,9,0.8,154,0.14596702147486143,0.02242831591247032
Apache,kmeans_default,10,0.8,154,0.13907703298632748,0.011092476623446507
Apache,kmeans_default,11,0.8,154,0.14414197195777842,0.012265895174384533
Apache,kmeans_default,12,0.8,154,0.14193489021161562,0.011371196358544024
Apache,kmeans_default,13,0.8,154,0.14540284036546872,0.014201832409318898
Apache,kmeans_default,14,0.8,154,0.14429993687576478,0.01904579816886916
Apache,kmeans_default,15,0.8,154,0.1423438743529775,0.011793187319289111
Apache,kmeans_default,16,0.8,154,0.14602662229838734,0.01353233694567859
Apache,kmeans_default,17,0.8,154,0.14591621226000606,0.019525108161609708
Apache,kmeans_default,18,0.8,154,0.1447873837394703,0.014963928190583878
Apache,kmeans_default,19,0.8,154,0.13806860161873954,0.015045401776534415
Apache,kmeans_default,20,0.8,154,0.14823479662268343,0.01644339613323622
Apache,kmeans_hamming,5,0.8,154,0.17398177931236025,0.04550614333969767
Apache,kmeans_hamming,6,0.8,154,0.15515089288868145,0.012578781533181505
Apache,kmeans_hamming,7,0.8,154,0.16139417804682388,0.018151504218544334
